0,1,2
皮肤 发热 疫苗,月经 月经 分泌 失调 月经 内分泌 失调 妇科 炎症 中医 益母草 中草药 治疗,0
心律平,排卵 月经 卵子 受精 精子 卵子 排卵 月经 怀孕,0
晚孕,腰椎 患者 疼痛 下肢 疼痛 患者 症状 疼痛 部位,0
预防 感冒 预防 接种 疫苗 预防 感冒,脾虚 消化 补脾益肠丸,0
呼吸,肛裂 痔疮 发作 口服 槐角丸 治疗 治疗 保健 排便 预防 便秘 愈合 预防 发作,0
口渴 化验 尿液 检查 血糖 糖尿病,骨折 夹板 手术 恢复,0
出血 疾病 宫颈 糜烂 宫颈 息肉 子宫粘膜下肌瘤 阴道炎 宫颈癌 出血 症状 出血 医院 检查,复方,0
痔疮 直肠 静脉丛 淤血 症状 便血 疼痛 肛门 治疗 口服 左氧氟沙星 甲硝唑 槐角丸 手术 治疗 手术 治疗 复发,外痔 口服 槐角丸 云南白药胶囊 马应龙痔疮膏 治疗 医院 肛肠科 检查 病因 手术 治疗 治疗,1
心脏 心律 病变 不适 治疗 心脏 心电图 检查 心脏 心律 治疗,心脏 心律 病变 不适 治疗 心脏 心电图 检查 心脏 心律 治疗,1
痔疮 排便,治疗,0
真菌 感染 真菌 皮肤 皮肤 股癣 达克宁 治疗,胎盘 胎儿,0
月经 胎儿 发育 胎儿,细菌 感染 发热 鼻塞 流涕 咳嗽 咳痰 治疗 口服 阿莫西林 化痰 药物,0
支原体 感染 强力霉素 治疗 治疗,孕妇 胎儿 胎儿 窒息,0
湿疹 真菌 感染 皮肤科 检查 治疗 治疗,晚孕,0
怀孕 精子 射精 精子 怀孕,疾病 神经 患者 热敷,0
分娩,瘙痒 瘙痒 症状 病因 外阴 瘙痒 症状 诊治,0
医院 治疗 睡眠,出血 疾病 宫颈 糜烂 宫颈 息肉 子宫粘膜下肌瘤 宫颈癌 出血 症状 出血 医院 检查 宫颈癌 卫生,0
阴道 检查 药物 激素,阴道 检查 药物 激素,1
怀孕 怀孕 卫生 避孕 医院 检查 怀孕,怀孕 流产 损伤 流产 宫腔 感染 流产 医院 检查 B超 检查 激素 检查 检查 输卵管 怀孕,1
恢复 手术 手术 恢复 疼痛 肩关节 肩关节 外展 理疗 热敷,血压 低压 高压,0
孕妇 怀孕 B超 监测 胎儿 发育 营养,神经炎 麻木 神经炎 症状,0
锁骨 骨折 手术 骨折 错位 临床 患者 骨折 错位 手术 手术 骨折 错位 手术 治疗,支气管炎 细菌 病毒 感染 口服液 口服液,0
空腹 血糖,颈椎病 症状 医院 检查 针灸 按摩 口服 天麻胶囊 伸筋活络丸 药物 治疗,0
婴儿,痛风 治疗 治疗 骨髓 嘌呤 嘌呤 嘌呤 肾脏 药物 药物 消炎痛 布洛芬 缓解 关节 疼痛 症状,0
牙痛 疾病 牙龈 红肿 中医 牙痛 外感 云南白药 牙龈,B超 胎儿 体重 胎儿 体重 胎儿 体重 B超,0
血脂 治疗 营养 脂肪 口服 藻酸双脂钠片 血脂,疫苗,0
中医 脾虚 胃痛 健脾益气 人参健脾丸,医院 激光 激光 毛细血管 胎记 患者,0
药物 副反应,检查 乳腺 检查 检查,0
月经 妇科 疾病 月经 月经 腹痛 症状 病因 病变 肝病 内分泌病 流产 葡萄胎 感染 肿瘤 卵巢肿瘤 子宫肌瘤 月经 失调 月经 治疗 卫生,月经 怀孕 精神 生殖 器官 炎症 肿瘤 发育 营养 疾患 内分泌 失调 疾病 药物 营养 性腺轴 月经 医院 激素 B超 治疗,1
怀孕,包皮 愈合 炎症 卫生 卫生 排尿 消毒 愈合 愈合,0
药物 发育 怀孕 B超 胎儿 发育 怀孕 羊水 检查,胎儿 胎儿 发育 畸形 怀孕 B超 怀孕 检查 怀孕 胎儿 怀孕 检查 胎儿 发育 怀孕 胎儿 B超 检查 怀孕 营养,1
精神,贫血 营养 营养 蛋白质,0
咳嗽 发热 感冒 症状 医院 检查 检查 治疗,包皮 手术,0
软骨瘤 疾病 医院 手术 症状 治疗 症状 软骨瘤 疾病 手术 治疗 疾病 手术,软骨瘤 疾病 医院 手术 症状 治疗 症状 软骨瘤 疾病 手术 治疗 疾病 手术,1
痔疮 症状 疼痛 肛门 肿物 出血 肛门 瘙痒 检查 治疗,人体 直肠 粘膜 肛管 皮肤 静脉丛 扩张 痔疮 医学 痔疮 内痔 外痔 混合痔 肛门 直肠 肛门 粘膜 静脉丛 曲张 慢性 疾病 治疗 痔疮 患者 药物 治疗 痔疮 药物 疼痛 痔疮 患者 治疗 药物 患者,1
疼痛 不适 胸膜 炎症 检查 检查 营养 检查 消炎 药物,症状 胸膜 疼痛 症状 医院 检查 检查 病因 治疗,1
排卵 月经 排卵 排卵 怀孕,医院 检查 扭伤 湿敷,0
失眠 神经衰弱 紊乱 治疗 口服 谷维素 安神补心丸 缓解,感染 疾病,0
排卵 月经 排卵 排卵 怀孕,感染 抵抗力 急性 咽炎 头孢拉定胶囊 过敏 利巴韦林片 治疗 治疗,0
接种 麻疹 疫苗 接种 医院 检查 预防 接种 注射 部位 刺痛 接种 疫苗 发热 皮疹 接种 红斑 硬结 不适 恶心 呕吐 腹泻 过敏反应 关节炎,营养,0
支气管炎 呼吸道 感染 医院 检查 口服 抗生素 糖浆 口服 治疗,感染 心脏 疾病 医院 内科 检查 诊断 治疗 呼吸道 感染 咳嗽 口服 罗红霉素 必嗽平 甘草片 治疗 治疗,1
肺癌 肺癌 病人 肝脏 病人 肺癌 病人,产后 月经 月经 失调,0
晚孕,心电图 心肌 缺血 检查 心肌炎 心脏 检查 胸膜炎 肺炎 症状,0
检查 癌症 胃癌 手术 治疗 中医 中医 治疗,婴儿,0
头晕 精神 头晕 疾病 心血管 疾病 头晕 医院 检查,头晕 高血压 低血压 贫血 鼻炎 颈椎病 医院 神经 内科 血常规 血糖 血压 检查 诊断 治疗,1
粘膜 皮肤,治疗,0
月经 月经 怀孕 医院 检查 B超 检查 月经,月经 月经 早孕 怀孕 怀孕 怀孕 医院 妊娠 检查,1
癫痫大发作 意识 呼吸 偏斜 四肢 强直 抽搐 发作 发作 意识 嗜睡 发作 发作 昏迷 癫痫 大脑 疾病 脑电图 患者 发作 癫痫 治疗 治疗 癫痫 发作,猕猴桃,0
怀孕 月经 怀孕 药物 流产 孕囊,怀孕 怀孕 药物 避孕药 胎儿,1
治愈 治疗 治疗 痛风 急性 发作 尿酸 排泄 急性 发作期 治疗 诱因 关节炎 急性 发作 秋水仙碱 恶心 腹泻 监测,营养,0
营养,梅毒 梅毒螺旋体 感染 血液 梅毒 症状 检查 检查 梅毒 检查,0
排卵 月经 卵子 卵巢 受精 精子 受精 卵子 排卵 排卵,医学 多汗症 谷维素 阿托品 临床 中医 治疗 症状,0
治疗,治疗,1
晚孕,左心室 舒张 心脏 顺应性 心肌 检查 治疗,0
孕妇 胎儿 发育 孕妇 胎儿 孕妇 胎儿 骨骼,口臭 治疗 口腔 消化系统 呼吸系统 口臭 疾病 治疗 口臭 口腔 感染 厌氧菌 兼性厌氧菌 替硝唑 甲硝唑 治疗 厌氧菌 兼性厌氧菌 药物 幽门螺杆菌 感染 口臭 根治 幽门螺杆菌 药物,0
怀孕 精子 射精 精子 怀孕,中药,0
病因 症状 止痛 药物 下肢 关节炎,排卵 月经 卵子 受精 精子 卵子 排卵 月经 怀孕,0
诊断 阴道炎 检查 白带 病因 治疗 阴道炎 药物 消毒 治疗,外阴 瘙痒 症状 滴虫 真菌 感染 阴道炎 白带 消毒 外阴 阴道 阴道 药物 呋喃西林 皮肤 过敏 皮炎 外阴 瘙痒 卫生 阴道 湿热 外阴 医院 妇科 阴道 宫颈 病原学 检查 诊断 治疗,1
痔疮 血尿 膀胱炎 结石 尿液 尿血 B超 检查 消炎 药物 治疗,痔疮 遗传性 痔疮 出血 出血 出血 便秘 出血 诱因 脱出 脱出 肛门 肛门 痔疮 手术 缓解 便秘 痔疮 手术,1
月经 月经,皮肤 过敏 皮肤病 口服 炉甘石洗剂 免疫力,0
羊水 发育 妊娠,症状 口干 口臭 中药 治疗 栀子 黄芩 连翘 木通,0
疲劳 中医 肝开窍于目 分泌 病理 分泌 流泪 药物,咳嗽 疫苗,0
月经 月经 妇科 炎症 内分泌 紊乱 精神 贫血 子宫 流产 子宫内膜结核 病变 子宫 月经 闭经 医院 激素 B超 病因 治疗,怀孕 月经 检查 早孕 月经 精神 妇科 炎症 内分泌 紊乱 月经 医院 激素 治疗,1
荨麻疹 皮肤 粘膜 扩张 水肿 皮肤病 接触 脱敏 治疗,叶酸 营养 维生素,0
痔疮 肛肠科 症状 手术 治疗,痔疮 痔疮 便秘 手术 治疗,1
充血 皮肤 充血 皮肤,瘫痪 损伤 发育 综合征 肩关节 腕关节 下肢 大腿 髋关节 大腿 外展 膝关节 髋关节,0
骨折 骨痂 骨痂 康复 检查 骨痂 康复 治疗,便秘 胎儿 晚期 妊娠 胎儿 乙状结肠 便秘,0
呼吸,阴道炎 临床 症状 阴道炎 治疗 疗程 医院 症状 妇科 检查 化验 阴道 治愈 月经 医院 检查 阴性 治愈 阴道炎 感染 检查 治疗 感染,0
治疗,治疗,1
排卵 月经 卵子 受精 精子 卵子 排卵 月经 怀孕,疾病 发育 整形科,0
接种 医院,黄疸 消退 食欲不振 临床 症状 黄疸 消退 黄疸 黄疸 医院 疗法 中医 治疗,0
粘膜 皮肤,呼吸 胎儿 发育 诊断 胎儿 先天性 畸形 先天性 心脏 疾病 检查 空腹,0
营养,患者 感染 肛门 部位 不适 疼痛 症状 出血 感染 肛门 瘘管 脓肿 并发症 痔疮 医院 内痔 外痔 混合痔 症状 患者 病因 治疗 痔疮 医院,0
空腹 血糖,外科,0
胎儿 检查,怀孕 产前 检查,1
肛门 脱出 肛门 外痔 治疗 痔疮膏 治疗 手术 治疗,痔疮 马应龙痔疮膏 手术 治疗,1
痔疮 手术 肛门 瘙痒 临床 肛门 湿疹 肛门 湿疹,营养 体重,0
便秘 便秘 排便 按摩,怀孕 胎儿,0
怀孕,器官 疾病 医院 检查 治疗,0
小三阳 小三阳 治疗 治疗,孕妇 胎儿 发育 孕妇 胎儿 孕妇 胎儿 骨骼,0
药物 副反应,检查 骨折 部位 骨痂 愈合 骨折 愈合 骨痂,0
感冒 伤风 鼻病毒 鼻病毒 头痛 不适 畏寒 低热 结膜 鼻塞 流涕 咳嗽 病程 中耳炎 慢性 支气管炎 气喘 急性 发作 治疗 发热 头痛,月经 月经 排卵,0
关节炎 检查,排卵 排卵 月经 避孕 怀孕,0
尖锐湿疣 尖锐湿疣 感染 尖锐湿疣 尖锐湿疣 病理 鳞状细胞癌 损害 尿道 窦道 治疗 尖锐湿疣 损伤 临床,高压 低压 高血压,0
流产 检查,脾虚 失调,0
人体 中药 部位 中药 脾胃 砂仁 茯苓 白术 陈皮 香砂养胃丸 参苓白术散 湿重 黄柏 车前子 通草 洗剂 洁尔阴 部位 部位,疫苗,0
痔疮 外痔 润肠通便 口服 药物 槐角丸 三七 痔疮膏 止痛 缓解 手术 治疗,外痔 口服 槐角丸 云南白药胶囊 马应龙痔疮膏 治疗 医院 肛肠科 检查 病因 手术 治疗 治疗,1
畸形,阴道炎 病因 阴道炎 生殖 器官 炎症 阴道 炎症 阴道 精子 成活 精子 宫颈 精子 阴道炎 怀孕 阴道炎 怀孕 激素 阴道炎 滴虫性阴道炎 精子 滴虫 精子 精子 精子,0
胎儿 怀孕,胎儿 怀孕,1
美洛昔康 移植 病人,月经 月经,0
白带 妇科 炎症 临床 症状 滴虫性阴道炎 阴道炎 子宫颈 息肉 子宫内膜炎 医院 妇科 检查 炎症 医院 检查 病因 卫生,医院 检查 怀孕 怀孕 妇科 炎症 医院 检查 治疗,1
神经炎 过敏 医院 检查 肢体 麻木 麻木 下肢 头晕 嗜睡 头痛 中风,营养,0
痔疮 排便,麻木 颈椎病 疗法 颈椎 麻木 颈部,0
胎儿,内分泌 少腹逐瘀丸 桂枝茯苓丸 口服 治疗 淋浴 卫生,0
怀孕 月经 月经 检查 怀孕,怀孕 医院 检查,1
发烧 病因 肺炎 传染病 发烧 症状 病毒 感染 发热 发烧,月经 避孕 药物 避孕 怀孕 月经 排卵,0
梅毒 梅毒螺旋体 感染 血液 梅毒 症状 检查 检查 梅毒 检查,营养,0
中医 阴虚内热证 中医 治疗,胎儿 怀孕,0
呕吐 检查 幽门 梗阻 上消化道造影 诊断 幽门 梗阻 消化 吸收 吸收,消化 溃疡 幽门 梗阻 呕吐 腹胀 病因 治疗 胃镜 检查,1
痔疮 症状 瘙痒 便血 疼痛 内痔 外痔 混合痔 肛门 直肠 肛门 粘膜 静脉丛 曲张 慢性 疾病 痔疮 消化 肛管 痔疮栓 痔疮膏 注射 治疗 治疗 治疗 手术 治疗,痔疮 痔疮 症状 出血 脱出 疼痛 痔疮 口服 中药 槐角丸 马应龙麝香痔疮膏 治疗,1
口服,临床 尿液 泌尿系 疾病 疾病 膀胱 疾病 尿路感染 前列腺炎 尿液 医院 检查 治疗,0
痔疮 外痔 润肠通便 口服 药物 槐角丸 三七 痔疮膏 止痛 缓解 手术 治疗,怀孕,0
小肠 消化 吸收 消化 吸收 小肠 消化 吸收 结肠 生理,癫痫 发作 脑神经 治疗 癫痫 基因 恢复 大脑 再生 临床 治愈,0
人体 免疫力 厌食 人体 免疫力,腰肌劳损 检查 治疗,0
热敷 按摩 肿块 消退 发热 疼痛 医院 治疗 乳腺炎,热敷 按摩 肿块 消退 发热 疼痛 医院 治疗 乳腺炎,1
发育,皮肤 痒疹 皮肤 瘙痒 口服 清热解毒 口服液 口服 氯雷他定,0
怀孕 痔疮 痔疮 疾病 妊娠 胎儿 静脉 静脉 静脉 静脉 扩张 痔疮 排便 出血 外痔 疼痛 肛门 肿物 中药 出血 医院 注射 手术 治疗,痔疮 人体 直肠 粘膜 肛管 皮肤 静脉丛 扩张 息肉 人体 肿块 良性肿瘤 肛门 息肉 肛管 直肠 粘膜 慢性 良性肿瘤 医院 检查 治疗,1
检查 洗液 卫生,胎儿 体重 双顶径 胎儿 发育,0
侧脑室 正常值 生理 畸形,过敏 皮肤 营养 皮肤 抵抗力 过敏 过敏 体质,0
脾虚 失调,接触性皮炎 毛细血管 出血 瘙痒 氯雷他定片 接触 过敏,0
排卵 月经 排卵 排卵 怀孕,内分泌 失调 紊乱 营养 精神 疾病 白化病 皮肤 黑色素 医院 病因 治疗,0
头皮 毛囊 按摩 头皮,便秘 治疗 治疗 便秘 症状 排便,0
畸形,症状 盗汗 睡眠 检查 治疗 吸收,0
便秘 排便 维生素 纤维素 消化,症状 治疗 精神,0
搽剂 治疗 皮肤 药物,胎儿 检查,0
怀孕,咽炎 治疗 咽炎 医院 检查 川贝,0
阴道炎 非特异性阴道炎 阴道 外阴 瘙痒 尿频 尿痛 治疗 甲硝唑 阴道 泡腾片 阴道,阴道 瘙痒 妇科 炎症 阴道炎 宫颈炎 阴道炎 阴道炎 病因 治疗 医院 妇科 检查 病因 治疗 卫生 外阴 消毒 湿热 营养,1
胎儿 检查,口臭 症状 口臭 体内 毒素 治疗 消炎 抗菌 清热解毒 治疗,0
医院,医院,1
内分泌 失调 紊乱 营养 精神 疾病 白化病 皮肤 黑色素 医院 病因 治疗,感冒,0
心衰 心脏 内科 药物 治疗,痤疮 红斑 丘疹 疾病,0
治疗,月经 月经 排卵,0
中药 咳嗽 支气管炎 支气管 肺炎 中药 治疗,疾病 疾病 前列腺炎 遗精 早泄 阳痿 不育,0
症状 痔疮 外科 检查 手术 治疗 栓剂 软膏 口服 药物 内痔 混合痔 外痔 血栓 手术 疗法 手术 治疗 熊胆痔疮膏 中药 方剂,痔疮 便秘 康复 药物 手术 治疗,1
急性 上吐下泻 症状 口服 阿莫西林 颗粒剂 口服 思密达,医院 骨科,0
中药 症状 中医 皮肤病 消毒 软化,晚孕,0
脂肪肝 脂肪,脱皮 瘙痒 达克宁 药物 克霉唑 乳膏 预防 维生素片,0
内痔 扩张 直肠 出血 排便 出血 口服 槐角丸 治疗 手术 治疗,手术 治疗 治疗 痔疮 治疗 痔疮 便秘 痔疮,1
疫苗,内痔 肛门 肛管 皮肤 粘膜 静脉丛 曲张 血液 缺血 坏死 治愈,0
剖宫产 分娩 胎儿 窒息,结膜炎 医院 检查 治疗,0
皮炎 体质 螨虫 接触 人体 皮炎 皮炎 皮炎 治疗 皮炎,发育 胎位 胎位 贫血 血压 血糖,0
甲状腺 分泌 甲状腺激素 疾病 甲状腺激素 临床 食欲亢进 症状 疾病 药物 治疗 根治 复发 中医 治疗 中医 治疗,甲状腺 分泌 甲状腺激素 疾病 甲状腺激素 临床 食欲亢进 症状 疾病 药物 治疗 根治 复发 中医 治疗 中医 治疗,1
月经 卫生,血压 低压 高压,0
接触,精神 患者 自杀 精神病 精神病 医院 诊治 精神病 药物 治疗 患者,0
骨折 治疗 损伤 愈合 恢复 热敷 按摩 恢复,潜意识 暴饮暴食,0
复发 患者 精神 诱因 人体 部位 真菌 感染 手足癣 表皮 角质层 疼痛,复发 患者 精神 诱因 人体 部位 真菌 感染 手足癣 表皮 角质层 疼痛,1
骨折 手术 骨不愈合 皮质 骨片,鼻腔 鼻腔 鼻涕 鼻腔 鼻涕 婴儿 鼻涕 口腔,0
怀孕 B超 怀孕,痛风 治疗 治疗 骨髓 嘌呤 嘌呤 嘌呤 肾脏 药物 药物 消炎痛 布洛芬 缓解 关节 疼痛 症状,0
接触 感冒,患者 肝硬化 患者 蛋白质 蛋白质 患者 口服 消化 吸收 氨基酸 血浆,0
器官 发育 胎儿 畸形,发热 咳嗽 症状 感染 治疗 布洛芬 口服 退热,0
艾滋病 临床 症状 症状 伤风 疲劳 发热 体重 症状 皮肤 感染 单纯疱疹 带状疱疹 紫斑 血肿 血疱 皮肤 损伤 出血,钙化 胎盘 胎儿 吸收 营养,0
血脂 治疗 营养 脂肪 口服 藻酸双脂钠片 血脂,咳嗽 感冒 炎症 感冒 炎症 治疗,0
新生儿,甲状腺肿 医院 治疗 治疗 中医 中医 中药 中药,0
甲状腺肿 医院 治疗 治疗 中医 中医 中药 中药,羊水 胎儿 缺氧 胎儿 缺氧,0
咳嗽 感冒 炎症 感冒 炎症 治疗,诊断 接触 发热 咳嗽 感冒 发热 感冒 症状 药物 治疗,1
睡眠 营养 消化,咳嗽 疫苗,0
感冒,避孕 体外 射精,0
脑出血 诊断 脑血管 疾病 高血压 血管 畸形 动脉瘤 血管 病变 脑血管 出血 临床 症状 治疗 血压 血糖 营养神经 预防 癫痫 康复 治疗 损伤 恢复,晚孕,0
阳虚 金匮肾气丸 右归丸 治疗 肾脏,感染 疾病,0
怀孕 怀孕 精子 卵子 怀孕 月经 怀孕 月经 怀孕 怀孕 怀孕,疾病 发育 整形科,0
腰痛 生殖 炎症 口服 六味地黄丸 外阴 症状,血压 高压 低压,0
胎儿 体重 双顶径 胎儿 发育,胎儿 双顶径 怀孕 股骨长 怀孕 胎儿 发育 体重 胎儿,1
妊娠 治疗 胎儿 发育 流产 早产 胎儿 妊娠期 剂量 药物 胎儿 胎儿 新生儿 新生儿 治疗 疾病 怀孕,妊娠 胎儿 胎儿 器官 发育 疾病,1
头晕 恶心 呕吐 症状 检查 医院 治疗,头晕 恶心 呕吐 症状 检查 医院 治疗,1
预防 肢体 按摩,口服,0
经络 麻木 推拿,高危 羊水 羊水,0
血压 高压 低压,肛门 消炎 马应龙麝香痔疮膏 口服 槐角丸 阿莫西林 胶囊 疼痛 通便灵胶囊 便秘 消化 手术,0
高血压 糖尿病 动脉硬化,泌乳素 月经 医院 泌乳素 检查 治疗,0
感染 外科 检查,晚孕,0
阴道炎 症状 阴道炎 医院 白带 检查 阴道炎 治疗 医院 检查 治疗,孕妇 胎儿 发育 孕妇 胎儿 孕妇 胎儿 骨骼,0
经络 麻木 推拿,手术 肾癌 治疗 治疗 康复 肾癌 免疫 细胞 复发 死亡 疗法 肿瘤 细胞 免疫力 肿瘤 细胞 复发 肿瘤 患者 免疫力 肾癌 发病率 肾癌 患者 遗传,0
痛风 治疗 治疗 骨髓 嘌呤 嘌呤 嘌呤 肾脏 药物 药物 消炎痛 布洛芬 缓解 关节 疼痛 症状,月经 月经 排卵,0
怀孕 怀孕 精子 卵子 怀孕 月经 怀孕 月经 怀孕 怀孕 怀孕,发育 肢体 下肢 偏瘫 四肢瘫 康复 疗法 疗法 疗法 疗法,0
耳鸣 脑动脉硬化 治疗 血脂 扩张 脑血管 丹参 肌肉 注射 中药,晚孕,0
腰椎 骨折 损伤 失禁 挫伤 恢复 损伤 恢复 针灸 理疗 神经 恢复 药物,呼吸,0
脾虚 消化 补脾益肠丸,接种 医院,0
下肢 疾病 肾脏 疾病 水肿 淋巴 肝硬化 呼吸系统 疾病 医院 检查 病因 治疗,怀孕,0
炎症 症状 医院 检查 病人 治疗,新生儿,0
微量元素 治疗 临床,背部 呕吐,0
婴儿,结膜炎 症状 卫生 消炎 眼药水 检查 治疗,0
